0        1         2         3
123456789012345678901234567890
----------+-----+-----+----
Center    | id  | Cnt |Sub  id=(PDS octet 6)
----------+-----+-----+----
bmrc      |  1  | 100 | 2
ccc       |  2  | 100 | 2
cnrm      |  3  | 100 | 2
cola      |  4  | 100 | 2
csiro     |  5  | 100 | 2
csu       |  6  | 100 | 2
dnm       |  7  | 100 | 2
ecmwf     | 99  | 098 | 2
gfdl      |  9  | 100 | 2
derf      | 10  | 100 | 2
giss      | 11  | 100 | 2
gla       | 12  | 100 | 2
gsfc      | 13  | 100 | 2
iap       | 14  | 100 | 2
jma       | 15  | 100 | 2
lmd       | 16  | 100 | 2
mgo       | 17  | 100 | 2
mpi       | 18  | 100 | 2
mri       | 19  | 100 | 2
ncar      | 20  | 100 | 2
ncep      | 50  | 007 | 2
nrl       | 22  | 100 | 2
rpn       | 23  | 100 | 2
sunya     | 24  | 100 | 2
sunya/ncar| 25  | 100 | 2
ucla      | 26  | 100 | 2
ugamp     | 27  | 100 | 2
uiuc      | 28  | 100 | 2
ukmo      | 29  | 100 | 2
yonu      | 30  | 100 | 2
ccsr      | 31  | 100 | 2
llnl      | 32  | 100 | 2
ntu       | 33  | 100 | 2
pcmdi     | 100 | 100 | 2
cptec     | 00  | 046 | 0
cptec001  | 01  | 046 | 0
cptec002  | 02  | 046 | 0
cptec003  | 03  | 046 | 0
cptec004  | 04  | 046 | 0
cptec005  | 05  | 046 | 0
cptec010  | 10  | 046 | 0
cptec011  | 11  | 046 | 0
cptec012  | 12  | 046 | 0
cptec013  | 13  | 046 | 0
cptec014  | 14  | 046 | 0
